Sl,SKU,Barcode,Item Name,Category,Description,Cost,MRP,Competitor Price,LS Price,Initial Stock Qty,Tax Paid,Discount,Total Cost,Total Price,Total Profit,% Profit,Batch Code,Supplier,Expiry Date (YYYY-MM-DD),Image URL,Price URL,XPath
UNILIVER - ATLANTIC DISTRIBUTION ,,,,,,,,,,,,,,,,,,,,,,
57,,,Ponds Daily 50g,Personal Care,Facewash,72,90.0,#REF!,85.0,1,10.2,,72.00,85.00,13,18.06,BATCH-001,Unilever - Atlantic Distribition,,,,
58,,,Ponds Skin Cream White Beauty 35g,Personal Care,Cream 35g,215,280.0,#REF!,265.0,3,95.4,,645.00,795.00,150,23.26,BATCH-001,Unilever - Atlantic Distribition,,,,
59,,,Ponds Bright Beauty 50g,Personal Care,Cream 50g,355,485.0,#REF!,460.0,3,165.6,,1065.00,1380.00,315,29.58,BATCH-001,Unilever - Atlantic Distribition,,,,
60,,,Lifebouy Liquid Total 200ml,Personal Care,Handwash 200ml,105.52,120.0,120.00 - 150.00,120.0,4,57.6,,422.08,480.00,58,13.72,BATCH-001,Unilever - Atlantic Distribition,,,,
61,,,Lifebouy Liquid Care 170ml,Personal Care,Handwash 170ml,78.8,90.0,#REF!,90.0,18,194.4,50,1368.40,1620.00,252,18.39,BATCH-001,Unilever - Atlantic Distribition,,,,
62,,,Lifebouy Health Care 150g,Personal Care,Soap 150g,73.46,90.0,90.00 - 105.00,90.0,24,259.2,,1763.04,2160.00,397,22.52,BATCH-001,Unilever - Atlantic Distribition,,,,
63,,,Lifebouy Health Care 90g,Personal Care,Soap 90g,49.15,60.0,#REF!,60.0,24,172.8,,1179.60,1440.00,260,22.08,BATCH-001,Unilever - Atlantic Distribition,,,,
64,,,Lifebouy Liquid Lemon Fresh 200ml,Personal Care,Handwash 200ml,105.52,120.0,#REF!,118.0,4,56.6,,422.08,472.00,50,11.83,BATCH-001,Unilever - Atlantic Distribition,,,,
65,,,Lifebouy Liquid Handwash Care 200g,Personal Care,Handwash 200ml,105.52,120.0,#REF!,120.0,4,57.6,,422.08,480.00,58,13.72,BATCH-001,Unilever - Atlantic Distribition,,,,
66,,,Lifebouy Liquid Lemon Fresh 170ml,Personal Care,Handwash 200ml,78.8,90.0,#REF!,88.0,18,190.1,50,1368.40,1584.00,216,15.76,BATCH-001,Unilever - Atlantic Distribition,,,,
67,,,Lifebouy Health Soap Lemon Fresh 150g,Personal Care,Soap 150g,73.46,80.0,#REF!,80.0,24,230.4,,1763.04,1920.00,157,8.90,BATCH-001,Unilever - Atlantic Distribition,,,,
68,,,Lifebouy Health Soap Total 90g,Personal Care,Soap 90g,49.15,55.0,#REF!,55.0,24,158.4,,1179.60,1320.00,140,11.90,BATCH-001,Unilever - Atlantic Distribition,,,,
69,,,Lifebouy Health Soap Lemon Fresh 90g,Personal Care,Soap 90g,49.15,55.0,#REF!,55.0,24,158.4,,1179.60,1320.00,140,11.90,BATCH-001,Unilever - Atlantic Distribition,,,,
70,,,Lifebouy Health Soap Total 150g,Personal Care,Soap 150g,73.46,80.0,#REF!,80.0,24,230.4,,1763.04,1920.00,157,8.90,BATCH-001,Unilever - Atlantic Distribition,,,,
