id,title,matched_shwapno_name,score,status,image_link,source
INV-0377,Katari Atob 25KG (Premium),,,not_matched,https://luckystore.com/images/products/INV-0377.jpg,placeholder
INV-0378,Maltova Baking Powder 100g,,,not_matched,https://luckystore.com/images/products/INV-0378.jpg,placeholder
INV-0379,Foodie Masala Noodles 12 Pack,,,not_matched,https://luckystore.com/images/products/INV-0379.jpg,placeholder
INV-0380,Haiko Agar Agar - 20g,,,not_matched,https://luckystore.com/images/products/INV-0380.jpg,placeholder
INV-0381,Maggi Fun Pack 992g,,,not_matched,https://luckystore.com/images/products/INV-0381.jpg,placeholder
INV-0382,Kikkoman All Purpose Seasoning Soy Sauce - 1ltr,,,not_matched,https://luckystore.com/images/products/INV-0382.jpg,placeholder
INV-0383,Wheel Fabric Solutions Laundry Soap 125g,,,not_matched,https://luckystore.com/images/products/INV-0383.jpg,placeholder
INV-0384,Mohammad Baking Soda - 86g,,,not_matched,https://luckystore.com/images/products/INV-0384.jpg,placeholder
INV-0385,Dano Power 200g,,,not_matched,https://luckystore.com/images/products/INV-0385.jpg,placeholder
INV-0386,Rexona Motionsense Advanced Brightening Roll On - 50ml,,,not_matched,https://luckystore.com/images/products/INV-0386.jpg,placeholder
INV-0387,Diploma IFCMP 1kg,,,not_matched,https://luckystore.com/images/products/INV-0387.jpg,placeholder
INV-0388,Radhuni Dhoniya Gura 200gm,Radhuni Haleem Mix 200gm,0.746,needs_review,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95b2115075f231ecc8f6_Radhuni-Haleem-Mix-200gm_1_415.webp,shwapno_match_review
INV-0389,Dano Sterilized Cream - 170g,,,not_matched,https://luckystore.com/images/products/INV-0389.jpg,placeholder
INV-0390,Cerelac Stage 1 Rice 350g,,,not_matched,https://luckystore.com/images/products/INV-0390.jpg,placeholder
INV-0391,Dano Delight 500g,,,not_matched,https://luckystore.com/images/products/INV-0391.jpg,placeholder
INV-0392,Mohammad Yeast,,,not_matched,https://luckystore.com/images/products/INV-0392.jpg,placeholder
INV-0393,Cerelac Stage I Wheat 350g,,,not_matched,https://luckystore.com/images/products/INV-0393.jpg,placeholder
