Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store],Optimal stock [Lucky Store]
dry-cake-300g,BIS-DRYX-CAKE-300G,Dry Cake (300g),Biscuits & Cookies,,N,,,,,,,125.00,,,,Y,,,0.00,Y,145.00,2.000,5.000,
eggs-red-loose,COO-EGGS-REDX,Eggs - Red (Loose),Cooking Needs,,N,,,,,,,8.50,,,,Y,,,0.00,Y,8.80,210.000,5.000,
eggs-white-loose,COO-EGGS-WHIT,Eggs - White (Loose),Cooking Needs,,N,,,,,,,7.80,,,,Y,,,0.00,Y,8.80,60.000,5.000,
energy-plus-family-pack,BIS-ENER-PLUS-1,Energy Plus - Family Pack,Biscuits & Cookies,Check these products if Price & Quantity is matching,N,,,,,,,42.00,,,,Y,,,0.00,Y,50.00,9.000,5.000,
energy-plus-standard-pack,BIS-ENER-PLUS,Energy Plus - Standard Pack,Biscuits & Cookies,,N,,,,,,,13.00,,,,Y,,,0.00,Y,15.00,24.000,5.000,
expert-shampoo-hair-color-5g,PER-EXPE-SHAM-5G,Expert Shampoo Hair Color 5g,Personal Care,Hair Color,N,,,,,,,25.00,,,,Y,,,0.00,Y,30.00,24.000,5.000,
expert-shampoo-hair-color-9g,PER-EXPE-SHAM-9G,Expert Shampoo Hair Color 9g,Personal Care,Hair Color,N,,,,,,,42.00,,,,Y,,,0.00,Y,50.00,24.000,5.000,
foodie-masala-noodles-12-pack,PAC-FOOD-MASA-12PACK,Foodie Masala Noodles 12 Pack,Packaged Food,,N,,,,,,,154.00,,,,Y,,,0.00,Y,170.00,8.000,5.000,
foodie-masala-noodles-8-pack,PAC-FOOD-MASA-8PACK,Foodie Masala Noodles 8 Pack,Packaged Food,,N,,,,,,,105.00,,,,Y,,,0.00,Y,120.00,12.000,5.000,
fortune-basmati-rice-1kg,RIC-FORT-BASM-1KG,Fortune Basmati Rice 1KG,Rice & Grain,1KG Bag,N,,,,,,,330.00,,,,Y,,,0.00,Y,400.00,2.000,5.000,
fortune-mustard-oil-1l,COO-FORT-MUST-1L,Fortune Mustard Oil 1L,Cooking Needs,,N,,,,,,,296.00,,,,Y,,,0.00,Y,350.00,3.000,5.000,
fortune-mustard-oil-250ml,COO-FORT-MUST-250ML,Fortune Mustard Oil 250ml,Cooking Needs,,N,,,,,,,75.00,,,,Y,,,0.00,Y,85.00,2.000,5.000,
fortune-mustard-oil-5l,COO-FORT-MUST-5L,Fortune Mustard Oil 5L,Cooking Needs,,N,,,,,,,1100.00,,,,Y,,,0.00,Y,1200.00,1.000,5.000,
fortune-mustard-oil-80ml,COO-FORT-MUST-80ML,Fortune Mustard Oil 80ml,Cooking Needs,,N,,,,,,,27.00,,,,Y,,,0.00,Y,35.00,12.000,5.000,
fortune-rice-bran-oil-2l,COO-FORT-RICE-2L,Fortune Rice Bran Oil 2L,Cooking Needs,2L,N,,,,,,,434.00,,,,Y,,,0.00,Y,458.00,2.000,5.000,
fortune-rice-bran-oil-5l,COO-FORT-RICE-5L,Fortune Rice Bran Oil 5L,Cooking Needs,5L,N,,,,,,,1095.00,,,,Y,,,0.00,Y,1120.00,2.000,5.000,
